date,doy,solarhour,air_temp,dew_temp,svp,vp,rh,vpd,vpd0,svp_slope,solarinc,solarhgt,solarazi,solarcon,etrad,totrad,drrad,dfrad,netrad,wind,kdr,kdf,clump,gap,lsl,lsh,par_outdr,par_outdf,par_indrscatter,par_indr,par_inscatter,par_indf,par_abssunlit,par_absshaded,co2_ambient,co2_internal,assimcoef_mmco2,assimcoef_mmo2,assimcoef_specificity,assimcoef_vcmax,assimcoef_co2_pt,leafassim_vc,leafassim_vqsl,leafassim_vqsh,leafassim_vs,leafassim_sunlit,leafassim_shaded,canopyassim,A_total,A_crop,A_soil,A_net,A_g,ustar,utreehgt,canopy_temp,stresses_water,stresses_vpd,stresses_par,R_rsa,R_raa,R_rca,R_rst,R_rcs,R_rss,et_total,et_crop,et_soil,h_total,h_crop,h_soil
1987-04-01,91,0.0,25.10168853647895,23.0,31.8660683915059,28.090974086857273,88.15324734050058,3.775094304648629,2.972085975704311,1.8965350110900092,1.5707963267948966,0.0,1.542327179265804,1377.9869893769887,8.437736779036135e-14,1.8991284841624402e-14,9.896718049997971e-16,1.8001613036624605e-14,-28.687409378888155,1.7576870170578753,10.0,1.110308504461555,0.9999360301177177,0.973952,0.05422654242750449,0.023917457572495512,2.2515033563745382e-15,4.095366965832097e-14,1.0745260536273052e-15,9.8944227378948e-16,4.2541889918912546e-17,3.434391507633821e-14,4.779604220660292e-14,2.888462385165598e-14,348.87104433468335,339.54676468167037,200.86896008018405,151146.31072039055,2647.636517531206,65.73737412341188,39.658011703928096,24.056023672375595,1.4659859134056907e-15,8.859405449830301e-16,32.86868706170594,1.4659859134056907e-15,8.859405449830301e-16,1.0068479272780278e-16,-21.975350254962596,-11.440591260913623,-10.534758994048973,-28.687409378888155,-6.712059123925562,0.18862801032547058,1.6917790634120236,22.113339656823257,1.0,1.0,0.0009253444576576908,6.071886814148465,13.881358094127647,279.93365353795303,5000.0,63984.43898443897,444.31431132538,11.336917032393679,-0.05709598608184805,11.394013018475526,-33.31226728735628,-11.383495274831775,-21.9287720125245
1987-04-01,91,1.0,24.821081597150158,23.0,31.337747305021473,28.090974086857273,89.63941732453773,3.2467732181642006,2.5094461146170577,1.8690869397857637,1.5707963267948966,0.0,1.540990033953919,1377.9869893769887,8.437736779036135e-14,1.7662054261398164e-14,7.164985770190508e-16,1.6945555684379114e-14,-28.524538382341312,1.7576870170578753,10.0,1.110308504461555,0.9999360301177177,0.973952,0.05422654242750449,0.023917457572495512,1.6300342627183405e-15,3.855113918196248e-14,7.779310115781446e-16,7.163324019449073e-16,3.079930481661864e-17,3.232914318076022e-14,4.087376360067943e-14,2.7182351687884545e-14,348.87104433468335,342.096858043092,195.9677361031624,150043.2855684147,2670.5023565572687,64.3076730576679,39.31844498926518,23.96898904424977,1.2601192619943518e-15,8.380193535111267e-16,32.15383652883395,1.2601192619943518e-15,8.380193535111267e-16,8.837520295678485e-17,-21.850586559913655,-11.375638009989494,-10.47494854992416,-28.524538382341312,-6.673951822427658,0.18862801032547058,1.6917790634120236,21.872245026419915,1.0,1.0,0.0009253444576576908,6.071886814148465,13.881358094127647,279.93365353795303,5000.0,63984.43898443897,444.31431132538,9.504698864321979,-0.06745529230701176,9.572154156628992,-31.35528542423564,-11.308182717682483,-20.047102706553154
1987-04-01,91,2.0,24.540474657821363,23.0,30.81708118187236,28.090974086857273,91.1539088373539,2.726107095015088,2.052529935043047,1.8419743343696007,1.5707963267948966,0.0,1.5370694060910952,1377.9869893769887,8.437736779036135e-14,1.63074929030401e-14,4.93178213847461e-16,1.5814314689192637e-14,-28.36232670725855,1.7576870170578753,10.0,1.110308504461555,0.9999360301177177,0.973952,0.05422654242750449,0.023917457572495512,1.1219804365029738e-15,3.5977565917913246e-14,5.354632082911407e-16,4.930638327043846e-16,2.1199687793378048e-17,3.017093410302295e-14,3.478542515807655e-14,2.5361392384285718e-14,348.87104433468335,344.62327862937127,191.17972031222243,148946.835692508,2693.596973926723,62.90599148631953,38.98133277411992,23.8738173768853,1.0778161485895344e-15,7.858152699954022e-16,31.452995743159764,1.0778161485895344e-15,7.858152699954022e-16,7.724094649047402e-17,-21.726327923370086,-11.310947697669562,-10.415380225700522,-28.36232670725855,-6.635998783888467,0.18862801032547058,1.6917790634120236,21.630824586273103,1.0,1.0,0.0009253444576576908,6.071886814148465,13.881358094127647,279.93365353795303,5000.0,63984.43898443897,444.31431132538,7.693146624375262,-0.07770615994854621,7.770852784323805,-29.419474547745345,-11.233241537721016,-18.186233010024328
1987-04-01,91,3.0,24.259867718492572,23.0,30.30397634620958,28.090974086857273,92.6973205295908,2.213002259352308,1.6012898487727507,1.8151939337771072,1.5707963267948966,0.0,1.5308314944151518,1377.9869893769887,8.437736779036135e-14,1.4927065333357243e-14,3.1792893441695627e-16,1.4609136398940286e-14,-28.200772574713582,1.7576870170578753,10.0,1.110308504461555,0.9999360301177177,0.973952,0.05422654242750449,0.023917457572495512,7.232883257985755e-16,3.323578530758915e-14,3.451880931710047e-16,3.1785519824225385e-16,1.3666447464375418e-17,2.7871665655908606e-14,2.9498912246721253e-14,2.3423678966833305e-14,348.87104433468335,347.1260769681678,186.50249336692227,147856.94192737166,2716.922730632433,61.53191351773459,38.64666404243251,23.77073968422014,9.185153479923971e-16,7.293492199826602e-16,30.765956758867294,9.185153479923971e-16,7.293492199826602e-16,6.725209051269175e-17,-21.60257298262507,-11.246519614514774,-10.356053368110294,-28.200772574713582,-6.598199592088515,0.18862801032547058,1.6917790634120236,21.389079952102566,1.0,1.0,0.0009253444576576908,6.071886814148465,13.881358094127647,279.93365353795303,5000.0,63984.43898443897,444.31431132538,5.902142332537424,-0.08784900947850169,5.989991342015927,-27.504715315162493,-11.158670605036273,-16.346044710126222
1987-04-01,91,4.0,23.979260779163777,23.0,29.79834003416238,28.090974086857273,94.27026490285132,1.7073659473051066,1.1556783038219387,1.7887424990117375,1.5707963267948966,0.0,1.522699716841862,1377.9869893769887,8.437736779036135e-14,1.3520223730855585e-14,1.880762171431903e-16,1.3332147513712395e-14,-28.039874208397674,1.7576870170578753,10.0,1.110308504461555,0.9999360301177177,0.973952,0.05422654242750449,0.023917457572495512,4.2787339400075795e-16,3.0330635593695696e-14,2.0420183172548383e-16,1.8803259726684885e-16,8.084617229317487e-18,2.54353952095621e-14,2.4966429647621733e-14,2.137252305450479e-14,348.87104433468335,349.6053064955729,181.93368219977162,146773.58497806563,2740.4820102889985,60.1850225244896,38.314427756060034,23.659989303224467,7.811313043791088e-16,6.686877958550321e-16,30.0925112622448,7.811313043791088e-16,6.686877958550321e-16,5.835136180497394e-17,-21.47932037697691,-11.182353052129963,-10.296967324846948,-28.039874208397674,-6.560553831420765,0.18862801032547058,1.6917790634120236,21.14701275837784,1.0,1.0,0.0009253444576576908,6.071886814148465,13.881358094127647,279.93365353795303,5000.0,63984.43898443897,444.31431132538,4.13156659015444,-0.09788427395273025,4.22945086410717,-25.610886967131353,-11.084468778177236,-14.526418188954118
1987-04-01,91,5.0,23.698653839834986,23.0,29.300080387654226,28.090974086857273,95.87336865701427,1.2091063007969538,0.7156477896138922,1.7626168130855655,1.5707963267948966,0.0,1.5132260106694946,1377.9869893769887,8.437736779036135e-14,1.2086407575101748e-14,9.991877806968702e-17,1.1986488797032061e-14,-27.879629834618587,1.7576870170578753,10.0,1.110308504461555,0.9999360301177177,0.973952,0.05422654242750449,0.023917457572495512,2.27315220108538e-16,2.7269262013247938e-14,1.0848579270428477e-16,9.98956042478727e-17,4.295094228206038e-18,2.2868114789003235e-14,2.112215000367201e-14,1.921282430191441e-14,348.87104433468335,352.06102351610133,177.47095925810737,145696.74541875307,2764.2772193489004,58.86490163366491,37.98461285468748,23.541801563410736,6.639699763858055e-16,6.039507576562532e-16,29.432450816832453,6.639699763858055e-16,6.039507576562532e-16,5.0449762717193996e-17,-21.356568747728225,-11.118447303163423,-10.2381214445648,-27.879629834618587,-6.5230610868903645,0.18862801032547058,1.6917790634120236,20.904624657769613,1.0,1.0,0.0009253444576576908,6.071886814148465,13.881358094127647,279.93365353795303,5000.0,63984.43898443897,444.31431132538,2.381298622178731,-0.10781239871191654,2.489111020890647,-23.737867369906958,-11.010634904451507,-12.72723246545545
1987-04-01,91,6.0,23.41804690050619,23.0,28.80910644823532,28.090974086857273,97.50727304691522,0.7181323613780464,0.2865382938970382,1.7368136809595134,1.5681329416936163,0.00266338510128028,1.5030534503424349,1377.9869893769887,3.670105678205272,0.46215037123558156,0.0021130074774860508,0.4600373637580955,-27.32720986674983,1.7576870170578753,10.0,1.110308504461555,0.9950641395373245,0.973952,0.0543165634879611,0.023827436512038905,0.004807092011280765,1.0465850025496672,0.00230200165061042,0.00212057528794711,9.071318133165485e-5,0.8776704687911141,0.7774996578142619,0.7373193928568544,348.87104433468335,354.02275916772413,173.9505535440603,144833.7629941443,2783.6245583021614,57.82034918357424,37.72060412631346,23.44131676708923,0.024531555550211467,0.023263793703735738,28.91017459178712,0.024531555550211467,0.023263793703735738,0.0018867863620064393,-20.9230901840059,-10.86078014047968,-10.062310043526221,-27.32720986674983,-6.4041196827439295,0.18862801032547058,1.6917790634120236,20.709077444459773,1.0,1.0,0.002137017287401854,6.071886814148465,13.881358094127647,279.93365353795303,5000.0,63984.43898443897,444.31431132538,0.6790385276886798,-0.11527458648801926,0.7943131141766988,-21.602128711694583,-10.745505553991661,-10.85662315770292
1987-04-01,91,7.0,23.1374399611774,23.0,28.32532815093209,28.090974086857273,99.17263424866233,0.23435406407481807,0.271707611775937,1.7113299294830588,1.307061329041547,0.26373499775334963,1.4900775721284625,1377.9869893769887,359.2249681897007,38.893314953353766,0.11850825780412322,38.77480669554964,5.498221727369707,1.7576870170578753,1.9180000158692991,1.110308504461555,0.6408068339282507,0.973952,0.07450866869927739,0.003635331300722619,0.2696062865043803,88.21268523237543,0.21615935351710458,0.21397864535117136,0.0010903540829666075,73.97551905732355,62.41869794218929,62.14035190558147,348.87104433468335,327.2388532757749,225.50460200953177,156420.88760657774,2543.1294403143697,72.84702228547134,41.28771360808925,24.349409222736174,1.8658164215193058,1.8574961164971042,36.42351114273567,1.8658164215193058,1.8574961164971042,0.14577211137792587,3.731976109457161,0.45389182255350013,3.278084286903661,5.498221727369707,1.766245617912546,0.18862801032547058,1.6917790634120236,23.242434278254297,1.0,1.0,0.16555931197530363,6.071886814148465,13.881358094127647,279.93365353795303,483.210512568049,6183.590711609962,444.31431132538,1.3087217585675048,0.11606374062637986,1.1926580179411252,2.4232543508896565,0.3378280819271203,2.0854262689625362
1987-04-01,91,8.0,24.316201805619794,23.0,30.40638410163891,28.090974086857273,92.38511883872165,2.315410014781637,2.8765552667863887,1.8205438176953066,1.045893308678619,0.5249030181162775,1.4697388353774512,1377.9869893769887,690.5493544032292,124.44924422276885,2.8592628638220106,121.58998135894684,77.54870439779026,1.9991617481797965,0.9977469246697371,1.110308504461555,0.5047163226577065,0.973952,0.0766264222998949,0.001517577700105105,6.504823015195074,276.6172075916041,5.401905544602886,5.379510051456265,0.011197746573310408,231.97232300401765,197.6177398040839,194.8661574304964,348.87104433468335,307.2486696678497,269.0853596348968,164834.07137863984,2391.4231797552648,85.12285761745045,43.90690902759652,24.388160310171834,5.643250525342206,5.564675248190143,42.561428808725225,5.643250525342206,5.564675248190143,0.4408669249639558,51.9162829329812,3.790004682474357,48.12627825050684,77.54870439779026,25.632421464809067,0.2145421222426471,1.9241992215462758,24.966881857312,1.0,1.0,0.4443245841767714,5.338475804667019,12.204656738452693,262.48344542311276,180.04855650339744,2304.0611755655896,444.31431132538,15.481928224260658,2.4570821012049064,13.024846123055749,36.43435470872054,1.3329225812694507,35.10143212745109
1987-04-01,91,9.0,26.806853813195993,23.0,35.24665657602763,28.090974086857273,79.6982659227963,7.15568248917036,8.66275065031009,2.070733525764546,0.7846999294594378,0.7860963973354588,1.4353332509231707,1377.9869893769887,975.0640549377764,306.8510796731275,43.17900516532728,263.67207450780023,231.13200979417906,2.4561049929617207,0.7066135718975532,1.110308504461555,0.48016843711593654,0.973952,0.07711714983888329,0.001026850161116713,98.23223675111956,599.8539695052455,82.20713802927861,81.9773511929622,0.11489341815820353,503.039995164554,450.64693916608934,422.6501064094782,348.87104433468335,274.59342491218825,350.3509815163019,178250.3687990714,2181.5165708192576,107.03151618601802,48.13165364156174,23.357968448421385,11.7889362830306,11.056538370586976,53.51575809300901,11.7889362830306,11.056538370586976,0.920482573986749,154.23670165386352,9.489471595007549,144.74723005885596,231.13200979417906,76.89530814031555,0.26357946180219666,2.364008474949984,27.5425702638788,1.0,1.0,0.7821202714419503,4.34528517830345,9.934055331957744,236.81129939473288,102.2860587061739,1308.9432164487855,444.31431132538,49.156470781335514,10.103871445817843,39.05259933551765,105.08023087252799,-0.6143998508102945,105.69463072333829
1987-04-01,91,10.0,29.038950232895704,23.0,40.14133704368017,28.090974086857273,69.9801654745327,12.050362956822894,14.558905882528494,2.3189324504901365,0.5235869840025813,1.0472093427923153,1.3660421893654662,1377.9869893769887,1193.3798631346865,498.4869961655793,138.2548402618499,360.2321559037294,392.6707198379081,2.865612775494643,0.5773463387246157,1.110308504461555,0.49596887478945423,0.973952,0.0772762015595791,0.000867798440420911,314.5297615957085,819.5281546809844,263.8672783676762,263.2446753501961,0.31130150874005835,687.2596663950778,653.2136087477359,577.559613039207,348.87104433468335,242.09968039295893,444.6363481445656,191301.87460266435,2007.8379679243053,130.8813727578912,52.29505651222871,21.145060983235368,15.320411069400656,13.546029308556252,65.4406863789456,21.145060983235368,21.145060983235368,1.6523596454739446,261.75850442117826,15.126578454643012,246.63192596653525,392.6707198379081,130.91221541672988,0.3075262153950391,2.7581609526494146,29.86854818075474,1.0,0.888537307152996,0.9392814757059679,3.724326159326062,8.514438206665172,219.23865670654055,95.85583668471538,1226.6563867311038,444.31431132538,83.0519379531641,17.446298283280544,65.60563966988359,178.7065664680141,-2.3197198286375347,181.02628629665165
